Census year,Block ID,Property ID,Base property ID,CLUE small area,Trading name,Business address,Industry (ANZSIC4) code,Industry (ANZSIC4) description,Longitude,Latitude
2022,920,618951,618951,Parkville,Zouki Convenience Store,"Shop 7, 20 Flemington Road PARKVILLE VIC 3050",4111,Convenience Store,144.95500291431983,-37.79885279195
2022,931,103908,103908,Parkville,Royal Supermarket,"Tenancy 11, Ground 48 Flemington Road PARKVILLE VIC 3052",4110,Supermarket and Grocery Stores,144.9495226105,-37.793631051343525
2022,1101,108973,108973,Docklands,Sugar Station (lvl1),"Shop 4, Level 1 650 Collins Street DOCKLANDS VIC 3008",4129,Other Specialised Food Retailing,144.9522268972,-37.81841173041551
2022,1101,110843,110843,Docklands,Lindt,"Shop 65, Level 1 201 Spencer Street DOCKLANDS VIC 3008",4129,Other Specialised Food Retailing,144.9505641426,-37.814508973578526
2022,1103,599505,573403,Docklands,Victoria Point Convenience Store,762 Bourke Street DOCKLANDS VIC 3008,4111,Convenience Store,144.94735092900342,-37.81812972055
2022,1104,598658,576023,Docklands,India Impex,16A Waterview Walk DOCKLANDS VIC 3008,4111,Convenience Store,144.94799200964053,-37.8193808754
2022,1108,609480,609480,Docklands,Woolworths Victoria Harbour,Part 65 Merchant Street DOCKLANDS VIC 3008,4110,Supermarket and Grocery Stores,144.94345993523592,-37.8204455766
2022,1109,560001,560001,Docklands,IGA Express,"Tenancy 1, 18 Rakaia Way DOCKLANDS VIC 3008",4110,Supermarket and Grocery Stores,144.94123862893565,-37.8146047014
2022,1109,601809,593728,Docklands,DOCKLANDS SPICE LAB,"Shop 2G-3G, 427 Docklands Drive DOCKLANDS VIC 3008",4110,Supermarket and Grocery Stores,144.93958160663215,-37.8152440667
2022,1109,601809,593728,Docklands,HAILI PACIFIC PTY LTD,"Shop 8G, 427 Docklands Drive DOCKLANDS VIC 3008",4129,Other Specialised Food Retailing,144.93958160663215,-37.8152440667
2022,45,103315,103315,Melbourne (CBD),Haigh's Chocolates,Gnd 140 & Flrs 1-2 136-140 140 Elizabeth Street MELBOURNE VIC 3000,4129,Other Specialised Food Retailing,144.9637417596805,-37.814842558
2022,45,103318,103318,Melbourne (CBD),7-Eleven,124 Elizabeth Street MELBOURNE VIC 3000,4111,Convenience Store,144.96385982955428,-37.81506880655
2022,46,101127,101127,Melbourne (CBD),EzyMart,179 Bourke Street MELBOURNE VIC 3000,4111,Convenience Store,144.96796810475,-37.81310953331891
2022,46,105965,105965,Melbourne (CBD),Quists Coffee Shop,166 Little Collins Street MELBOURNE VIC 3000,4129,Other Specialised Food Retailing,144.9678661138662,-37.81377422315
2022,46,109409,109409,Melbourne (CBD),Woolworths Swanston St,160-162 Swanston Street MELBOURNE VIC 3000,4110,Supermarket and Grocery Stores,144.96621402736827,-37.81386661925
2022,48,101108,101108,Melbourne (CBD),7-Eleven,Ground 35-37 Bourke Street MELBOURNE VIC 3000,4111,Convenience Store,144.97219169995,-37.81185713111397
2022,52,101172,101172,Melbourne (CBD),Metro Woolworths,"Shop 9, LwrGround 600 Bourke Street MELBOURNE VIC 3000",4110,Supermarket and Grocery Stores,144.95613866809998,-37.815676162352304
2022,54,103182,103182,Melbourne (CBD),7-Eleven,Ground & Pt Lvl 1 197 Elizabeth Street MELBOURNE VIC 3000,4111,Convenience Store,144.96265027835432,-37.8137620546
2022,54,108104,108104,Melbourne (CBD),Ezymart,"Shop 1, Ground 190 Queen Street MELBOURNE VIC 3000",4111,Convenience Store,144.9606797877822,-37.8140280414
2022,56,101202,101202,Melbourne (CBD),Jerky House,"Shop 5, 206 Bourke Street MELBOURNE VIC 3000",4129,Other Specialised Food Retailing,144.96687115185,-37.81267380947152
2022,56,101204,101204,Melbourne (CBD),Unique Vintage Wines,"Shop 23A, 198 Bourke Street MELBOURNE VIC 3000",4129,Other Specialised Food Retailing,144.9672689638,-37.812419039991525
